	onset	duration	condition	biopac_channel	correct	mouseclick	rt	keys	score	value	bodySite
0	278.83262719993945	1.0135348400799558	pretrialfixation	187.0					20.0		Left Face
1	915.0512013999978	1.9664089800789952	2-back		1.0				20.0		Left Face
2	917.0343321999535	1.9580270600272343	2-back		1.0				20.0		Left Face
3	919.0338744999608	1.9809071599738672	2-back		0.0				20.0		Left Face
4	921.035990400007	1.9708576599368826	2-back		0.0				20.0		Left Face
5	923.0334786999738	1.977664259960875	2-back		0.0				20.0		Left Face
6	925.0336750999559	1.9783120598876849	2-back		0.0				20.0		Left Face
7	927.0334638999775	1.979662960045971	2-back		0.0				20.0		Left Face
8	929.0419178999728	1.975630459957756	2-back		0.0				20.0		Left Face
9	931.0337430000072	1.977260860032402	2-back		0.0				20.0		Left Face
10	933.0331600999925	1.9853385599562898	2-back		0.0				20.0		Left Face
11	299.9126524999738	0.4198073400184512	ScoreReport	196.0			0.3959183673469388	space	20.0		Left Face
12	300.3517706999555	1.0092869201907888	Post-trial Jitter	11.0							Left Face
13	301.3899424999254	0.4010713800089434	PainBinary				931.3298929199809			0.0	Left Face
14	301.8273788000224	0.40387288003694266	IntensityRating				931.7795123199467			33.0	Left Face
15	302.25419299991336	1.0151105201803148	Post-Q-Jitter	12.0							Left Face
16	303.3083362999605	0.4115421799942851	ComfortRating				933.2662535200361			60.0	Left Face
17	303.7663353999378	0.40733764006290585	ValenceRating				933.7012198599987			-37.0	Left Face
18	304.2088089999743	0.4047523399349302	IntensityRating				934.1374844600214			40.0	Left Face
19	304.6482409000164	0.3979738400084898	AvoidanceRating				934.5730584600242			54.0	Left Face
20	305.06669100001454	0.40793428011238575	RelaxationRating				935.003110120073			-59.0	Left Face
21	305.50339179998264	0.40234598016832024	AttentionRating				935.4492268199101			18.0	Left Face
22	305.94959939992987	0.40201024000998586	BoredomRating				935.8769931601128			90.0	Left Face
23	306.3931505000219	0.3982027400052175	AlertnessRating				936.329958659946			-55.0	Left Face
24	306.843251699931	0.4251589401392266	PosThxRating				936.8148449598812			76.0	Left Face
25	307.3115763999522	0.40348587988410145	NegThxRating				937.2695161200827			84.0	Left Face
26	307.76666929991916	0.41319833998568356	SelfRating				937.7095936599653			35.0	Left Face
27	308.22141959995497	0.4048749399371445	OtherRating				938.1608191600535			-55.0	Left Face
28	308.7127924999222	0.4041080600582063	ImageryRating				938.6699761399068			8.0	Left Face
29	309.18435300001875	0.41005219996441156	PresentRating				939.1244930000976			42.0	Left Face
